"log_10(cond_2(B))","max relerr(gsvd)","max relerr(gevd)"
 1,8.94428095154361904e-16,8.05762520346944903e-16
 2,9.31054364563480111e-16,5.75405555474317174e-15
 3,1.18360367938279080e-15,9.12035597436795604e-15
 4,2.22704290991050678e-15,7.13165510893199288e-14
 5,1.24473454906946780e-15,7.60762184860415116e-13
 6,2.17688065825277460e-15,1.13952523180893590e-11
 7,2.25033372076899272e-15,8.42379017669605575e-11
 8,1.27055998451290983e-15,1.45272656058772530e-09
 9,1.36068488110721354e-15,2.87590370421803645e-09
10,1.22937435227256790e-15,1.17784805326284399e-07
11,1.08834737625088220e-15,1.26548923421964537e-06
12,2.17669552762066492e-15,3.42444661298930281e-04
13,1.14078564009803093e-15,3.69526429609540867e-03
14,1.41623123946821886e-15,2.29521691854548756e-02
15,1.06565769350208179e-15,3.49087001734388955e-02
16,1.63252191315860048e-15,nan
